n_alive,new_deaths,cum_deaths,meningitis.n_susceptible,meningitis.n_infected,meningitis.n_recovered,meningitis.n_exposed,meningitis.prevalence,meningitis.new_infections,meningitis.cum_infections,meningitis.rel_sus,meningitis.new_recoveries,meningitis.recovered,meningitis.exposed
1880.0,1.0,119.0,619.0,586.0,542.0,133.0,0.31170212765957445,43.0,2952.0,0.9957344894379051,0.0,3.0,133.0
1879.0,1.0,120.0,604.0,596.0,541.0,138.0,0.3171899946780202,29.0,2981.0,0.9957065434019988,0.0,3.0,138.0
1876.0,3.0,121.0,593.0,598.0,549.0,136.0,0.3187633262260128,36.0,3017.0,0.9956814761338623,0.0,3.0,136.0
1875.0,1.0,124.0,581.0,596.0,559.0,139.0,0.3178666666666667,35.0,3052.0,0.9956613837154443,0.0,0.0,139.0
1875.0,0.0,125.0,563.0,594.0,587.0,131.0,0.3168,39.0,3091.0,0.9956484116437657,0.0,0.0,131.0
1873.0,2.0,125.0,546.0,591.0,611.0,125.0,0.3155365723438334,40.0,3131.0,0.9956402853769358,0.0,0.0,125.0
1870.0,3.0,127.0,547.0,584.0,627.0,112.0,0.3122994652406417,35.0,3166.0,0.9956251777544628,0.0,0.0,112.0
1869.0,1.0,130.0,533.0,584.0,628.0,124.0,0.3124665596575709,38.0,3204.0,0.9956238106314478,0.0,0.0,124.0
1866.0,3.0,131.0,529.0,592.0,626.0,119.0,0.3172561629153269,39.0,3243.0,0.9956124029561599,0.0,0.0,120.0
1866.0,0.0,134.0,543.0,601.0,613.0,109.0,0.3220793140407288,47.0,3290.0,0.9956074471224002,0.0,0.0,109.0
1864.0,2.0,134.0,558.0,596.0,603.0,107.0,0.3197424892703863,29.0,3319.0,0.995604123184257,0.0,0.0,107.0
1859.0,5.0,136.0,569.0,574.0,608.0,108.0,0.3087681549220011,22.0,3341.0,0.9956003000638528,0.0,0.0,108.0
1857.0,2.0,141.0,579.0,567.0,586.0,125.0,0.3053311793214863,26.0,3367.0,0.995598627742349,0.0,0.0,125.0
1857.0,0.0,143.0,568.0,572.0,594.0,123.0,0.3080236941303177,34.0,3401.0,0.9955885049084714,0.0,0.0,123.0
1855.0,2.0,143.0,567.0,554.0,620.0,114.0,0.2986522911051213,30.0,3431.0,0.9955811186686199,0.0,0.0,114.0
1853.0,2.0,145.0,565.0,536.0,633.0,119.0,0.2892606583917971,22.0,3453.0,0.9955785607842648,0.0,0.0,119.0
1852.0,1.0,147.0,566.0,548.0,630.0,108.0,0.2958963282937365,41.0,3494.0,0.9955632364691372,0.0,0.0,108.0
